# Every toggleable feature this workspace has, declared: what group it belongs to, how hard it
# enforces, whether it is general or Lucas-specific, and whether it can actually be switched off.
# Read by core/hooks/feature_law.py; the answers live in core/profile.txt.
#
# WHY THIS FILE EXISTS: the ablation bench ran once and produced no signal for exactly one reason —
# there was no clean way to turn a single feature off. No feature in this workspace has ever been
# measured. This file is the instrument, not a config system: it NAMES which hook/skill/tool is
# wired and never restates the rule that hook enforces. A checker that restates the law is the
# drift the checkers exist to catch.
#
# THE TWO VOCABULARIES IT RECONCILES, and it does not invent a third:
#   SETUP.md          declares a slug per install step ("what do I run")     -> the `install` column
#   core/tools/deps.txt declares a slug per dependency ("what breaks")       -> the `slug` column
# Thirteen each, four shared verbatim. Both are the wrong shape for a toggle on their own: neither
# covers the enforcement layer, which has no install step and no dependency and is three quarters
# of what Lucas asked to be able to switch off. So this key set is a strict superset of their union.
#
# Tab-separated. Columns:
#   slug         the feature's identity. Every `feature` in core/tools/deps.txt appears here.
#                A SLUG AND THE FILE IT GOVERNS CARRY THE SAME NAME (Lucas, 2026-08-17), enforced
#                for the skills group by test_features.py: `roundup` is core/skills/roundup.md.
#                Descriptive suffixes read well in a registry and cost a lookup at every other
#                site, which is how `craft-flow` came to name a file called loops.md whose flow
#                was called craft — one feature, three spellings, none of them wrong alone.
#   group        hooks | tools | skills | agents | flows | norms — the tree's own layers, so a
#                feature is findable by opening a directory. A feature may be a COMBINATION,
#                written with `+`: `latex` is a pre-commit gate plus the tool family that gate
#                calls. The five groups this replaced (2026-08-17) named `capabilities`,
#                `context-tree` and `brain`, none of which is a directory — every wired row in
#                the latter two pointed into core/hooks/, so the claim written HERE that the
#                groups matched the tree died to one `ls core/`. `norms` is the only layer with
#                no code: rules obeyed rather than enforced, the INDUCED half of the line whose
#                ENFORCED half is file_law.py / schema_law.py / feature_law.py.
#   runs         automatic | on-demand — WHO STARTS IT. An automatic feature fires unbidden and so
#                has a moment; an on-demand one waits to be called and has none. Added 2026-08-18
#                because this file carried one column where it had two facts: `enforcement: none`
#                meant BOTH "fires by itself and applies no pressure" and "you call it", and that
#                ambiguity made a reader of this very registry report the capability half of the
#                workspace as dead weight. DO NOT DERIVE IT FROM `enforcement` — eleven rows cross,
#                and they are the reason the column exists: six are automatic and enforce nothing
#                (rtk-compaction, subtree-read-tracking, precompact-wipe, brain-attention,
#                opencode-plugin, and caveman, which activates itself from a SessionStart hook);
#                five are on-demand and still push (fanout-limit, context-head-budget,
#                first-line-comment, declared-deps, diagram). The subcategory of an on-demand
#                feature is its `group` and no third column is needed: a skill is typed as /name,
#                a tool is called by path. Named `automatic`/`on-demand` rather than
#                `passive`/`active` because this registry's other job is saying which features are
#                switched ON, and "an active feature" would be ambiguous at every other site.
#   install      the SETUP.md step that installs it, or - . Every `> feature:` slug in SETUP.md
#                appears in this column. THIS IS THE JOIN: three files, one vocabulary.
#   enforcement  blocks | warns | generates | advises | none — how hard it pushes, once something
#                has started it. Orthogonal to `runs` above, which says what starts it.
#   scope        general | lucas . This column is the general/Lucas-specific line: it is not a
#                document, it is what the public sync is allowed to copy.
#   wired        path of the file that calls feature_law.is_enabled(), or `n/a <reason>`, or - .
#                COMMA-SEPARATED when the feature spans layers, and the plural is load-bearing
#                rather than tidy: `latex` is a pre-commit gate AND the tool family that gate
#                calls, so a switch that stopped only the tool would leave the gate reading the
#                tool's refusal as a violation and BLOCK the commit it was meant to relax.
#                A `-` IS A FINDING, counted by `core/tools/wos/features --findings`: a feature
#                that cannot be switched off is entangled with the scaffold rather than sitting on
#                it, and the target for that count is ZERO.
#                `n/a` means NO IN-PROCESS SWITCH, never "exempt" — the feature is still ablatable,
#                by building a clone variant without it (core/SPECS.md § AD-14). NO ROW USES `n/a`
#                as of 2026-08-17. The four that carried it were third-party machine state this
#                workspace does not author — the .venv, the absolute shebang, flutter — and left as
#                a SETUP.md step plus a deps.txt line, which is the codeburn ruling applied
#                unchanged. The fifth, google-auth, was misfiled: core/tools/auth/gauth.py is ours,
#                so it is a tool with a moment of its own.
#                THE TARGET OF ZERO IS NOT MET, and saying so here is the point: `telegram-capture`
#                reads `-`. Its code moved to code/aiwbot, a repo this one does not version, so
#                every wiring available today is wrong rather than merely unwritten — a
#                code/aiwbot path in this column makes a Tier 0 test of THIS repo assert on a
#                nested repo's content. The row is blocked on where that code lives — the
#                portability-and-clonability question in ROADMAP.md — not on wiring effort, and not
#                on this file. Until then the count stands at one and is printed rather than
#                explained away. This paragraph claimed the opposite for a day (2026-08-18): the
#                `n/a` column being empty is not the same fact as the target being met, and
#                conflating them made this registry the newest instance of the workspace describing
#                itself wrongly.
#                A row is n/a only because a switch CANNOT exist, never because wiring one is work.
#                Do not hide the count by claiming a row is wired when it is not. The honesty test
#                in test_features.py is a BEHAVIOURAL PROBE: it runs the feature both ways and
#                fails unless the observable changes. A grep for the slug would pass on a guard in
#                an unreachable branch, and would force one call site per row — which is why the
#                whole skills group shares one wiring point in the mirror.
#   buys         one sentence: what it is for and what it buys you. Required, because nobody
#                accepts an enforcement layer they cannot see the value of, and writing this
#                sentence per feature is itself an audit of whether the feature earns its place.
#
slug	group	runs	install	enforcement	scope	wired	buys
context-chain	hooks	automatic	-	blocks	general	core/hooks/read/context-gate.py,core/hooks/read/bash-context-gate.py	An agent cannot touch a file in a subtree it has not oriented in, including through cat and grep, so it arrives knowing the neighbourhood instead of guessing from a filename
interface-first-reads	hooks	automatic	interface-stubs	blocks	general	core/hooks/read/pre-read.py	Reading a source file is blocked while its generated stub is current, so the agent reads 30 lines of signatures instead of 200 lines of body
interface-stubs	hooks	automatic	interface-stubs	generates	general	core/hooks/commit/generators.py,core/hooks/postedit/interfaces.sh	The .pyi / .d.ts / .dart.api / .texif stubs regenerate on every save, so the interface-first read can never serve a stale summary
routing-tables	hooks	automatic	-	generates	general	core/hooks/routing/context_synchronizer.py	Each directory's file list writes itself from first-line comments; nobody maintains an index, and an index nobody maintains is the one that lies
agent-context-brief	hooks	automatic	-	advises	general	core/hooks/read/agent-context.py	A spawned subagent is handed its subtree's CONTEXT.md chain instead of being gated on it, so briefing a worker stops being a discipline the orchestrator has to remember
subtree-read-tracking	hooks	automatic	-	none	general	core/hooks/read/context-tracker.py	Records which CONTEXT.md a session has already read, which is what lets the chain gate fire once per subtree instead of once per file
line-limit	hooks	automatic	-	blocks	general	core/hooks/checks/line_counts.py	Forces graph-shaped design: small single-responsibility files with explicit imports, because an agent that cannot grow a file has to actually decompose it
fanout-limit	hooks	on-demand	-	warns	general	core/hooks/entropy/entropy_fanout.py	Counts how many files one directory asks a reader to hold at once; a split costs one routing hop, so the warn sits where that hop starts to pay for itself
context-head-budget	hooks	on-demand	-	warns	general	core/hooks/entropy/entropy_context.py	A token in a CONTEXT.md head is paid by every session that touches the subtree, so the head is asked to justify its length rather than capped
first-line-comment	hooks	on-demand	-	warns	general	core/hooks/entropy/entropy_context.py	Every code file opens with a line saying what it is, and that line is what the routing generator publishes, so the index writes itself
duplication-gate	hooks	automatic	declared-deps	blocks	general	core/hooks/checks/check-duplication.py	jscpd blocks a commit whose staged files clone existing logic; copy-paste is the failure mode agents are fastest at
facade-discipline	hooks	automatic	-	blocks	general	core/hooks/facade/check-facade-imports.py	Cross-module imports that reach around index / __init__ are blocked, so module boundaries stay real and a rename does not become an archaeology project
type-gate	hooks	automatic	-	blocks	general	core/hooks/checks/type-gate.py	UPPERCASE.md names are a closed allowlist, ratcheted on what a commit adds, so inventing a file type is a deliberate act instead of an accident
citation-gate	hooks	automatic	-	blocks	general	core/hooks/checks/citation-gate.py	A roadmap item number is not a citable identifier outside the roadmap family, because a closed item is deleted and every citation of it becomes a dead pointer
issues-gate	hooks	automatic	-	blocks	general	core/hooks/checks/issues-gate.py	An issue cannot be flipped to FIXED without a matching regression test, so "it works now" stops being a claim and becomes a file
spec-read-gate	hooks	automatic	-	blocks	general	core/hooks/read/spec-read-gate.py	Editing a module with a locked contract requires having read that contract this session
heredoc-gate	hooks	automatic	-	warns	general	core/hooks/checks/heredoc-gate.py	Warns when a file is written through a bash heredoc, which is the one path that bypasses every edit-time gate
verify-suite	hooks	automatic	-	blocks	general	core/hooks/commit/gates_project.py	make verify-fast is what the pre-commit gate checks against; without it the gate has nothing to run
verify-contract	hooks	automatic	-	blocks	general	core/hooks/commit/gates_project.py	A project declaring verify:fast must be green to commit, discovered by convention, so a new project opts in by naming a script rather than by wiring anything
project-contract	hooks	automatic	-	blocks	general	core/hooks/commit/gates_project.py	What a code/ project must declare before it can commit: verify contract, goal link, spec, branch shape, .md type and gitlink
gitflow-gate	hooks	automatic	git-hooks	blocks	general	core/hooks/git/gitflow_gate.py	Blocks direct commits to main / master / develop and requires feature|release|hotfix, so a shared branch only ever moves by promotion
gitlink-gate	hooks	automatic	git-hooks	blocks	general	core/hooks/git/gitlink_gate.py	Blocks committing an undeclared nested gitlink, which is how a nested repo silently becomes a pointer nobody can clone
gitignore-self-heal	hooks	automatic	git-hooks	generates	general	core/hooks/git/gitignore_heal.py	The .gitignore allowlist repairs itself, so a new subtree cannot go untracked and thereby opt out of every check the workspace runs
auto-push	hooks	automatic	git-hooks	none	general	core/hooks/commit/post_commit.py	Every commit on a feature branch reaches the remote by itself, so a dead session or a switch of machine never strands work that was already made
lint-typescript	hooks	automatic	lint-typescript	blocks	general	core/hooks/commit/gates.py,core/hooks/postedit/lint.sh	ESLint and Prettier over staged TypeScript, run last because it needs the .d.ts the generators just wrote
declared-deps	hooks	on-demand	declared-deps	warns	general	core/tools/wos/deps	Every external dependency is declared with what installs it and what its absence breaks, so a fresh clone loses a feature loudly instead of silently
opencode-plugin	hooks	automatic	-	none	general	.opencode/plugins/workspace-policy.js	The provider shim that lets a second harness run the same canonical gates, which is what keeps the enforcement layer provider-agnostic in fact and not just in intent
antigravity-hooks	hooks	automatic	-	none	general	core/hooks/antigravity/antigravity_policy.py	The provider shim that lets Antigravity run the same canonical gates, keeping the enforcement layer provider-agnostic across harnesses
brain-dashboard	hooks	automatic	-	generates	lucas	core/hooks/brain/brain_stats.py	GOALS.md renders its own attention bars and active-goal table, so the dashboard cannot drift from the goal files it summarises
brain-attention	hooks	automatic	-	none	lucas	core/hooks/brain/brain_attention.py	Counts the commits that actually touched each goal's declared paths, across every repo in the workspace, instead of counting edits to the goal file
